field_id,table,field,data_type,grain,field_class,definition,missing_meaning,allowed_use,prohibited_interpretation
D103,known-truth.csv.gz,expected_direction,text,one generated mechanism or null condition,synthetic source,direction expected if the mechanism is recovered,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D104,known-truth.csv.gz,release_use,text,one generated mechanism or null condition,synthetic source,later module that may use the truth record,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D105,known-truth.csv.gz,disclosure_timing,text,one generated mechanism or null condition,synthetic source,when learners may compare results with generated truth,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D106,known-truth.csv.gz,synthetic_flag,integer,one generated mechanism or null condition,synthetic audit,must equal 1 for every row,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D107,defect-register.csv.gz,defect_id,text,one seeded raw defect,synthetic source,stable seeded-defect identifier,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D108,defect-register.csv.gz,table_name,text,one seeded raw defect,synthetic source,raw table containing the seeded defect,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D109,defect-register.csv.gz,affected_key,text,one seeded raw defect,synthetic source,row or relationship affected by the defect,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D110,defect-register.csv.gz,defect_type,text,one seeded raw defect,synthetic source,"duplicate, missing, invalid, impossible, or inconsistent classification",blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D111,defect-register.csv.gz,raw_effect,text,one seeded raw defect,synthetic source,observable effect in the immutable raw layer,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D112,defect-register.csv.gz,repair_rule,text,one seeded raw defect,synthetic source,predeclared deterministic clean-layer rule,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D113,defect-register.csv.gz,clean_disposition,text,one seeded raw defect,synthetic source,"repair, quarantine, deduplicate, or retain unavailable",blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D114,defect-register.csv.gz,affected_measure,text,one seeded raw defect,synthetic source,measure or invariant changed by the defect,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D115,defect-register.csv.gz,owner,text,one seeded raw defect,synthetic source,role accountable for the repair decision,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D116,defect-register.csv.gz,synthetic_flag,integer,one seeded raw defect,synthetic audit,must equal 1 for every row,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D117,defect-register.csv.gz,status,text,one seeded raw defect,synthetic source,open or closed defect disposition,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
